,Team,World Series Win Probability,Division Win Probability,Playoff Appearance Probability,Average Games Won
0,MIAMI_MARLINS,0.046,0.249,0.425,36.862
1,COLORADO_ROCKIES,0.044,0.213,0.408,35.644
2,NEW_YORK_YANKEES,0.043,0.196,0.411,35.701
3,CHICAGO_CUBS,0.042,0.19,0.399,34.559
4,TORONTO_BLUE_JAYS,0.04,0.199,0.408,35.505
5,LOS_ANGELES_ANGELS,0.04,0.215,0.41,35.717
6,BALTIMORE_ORIOLES,0.039,0.226,0.454,39.393
7,CHICAGO_WHITE_SOX,0.039,0.23,0.413,35.937
8,OAKLAND_ATHLETICS,0.038,0.225,0.405,35.336
9,TAMPA_BAY_RAYS,0.035,0.171,0.397,34.646
10,ARIZONA_DIAMONDBACKS,0.035,0.212,0.407,35.337
11,BOSTON_RED_SOX,0.034,0.208,0.439,37.985
12,ATLANTA_BRAVES,0.033,0.179,0.399,34.57
13,PITTSBURGH_PIRATES,0.033,0.191,0.358,31.207
14,CINCINNATI_REDS,0.032,0.19,0.415,36.091
15,ST_LOUIS_CARDINALS,0.032,0.207,0.425,37.118
16,SAN_FRANCISCO_GIANTS,0.032,0.17,0.361,31.343
17,DETROIT_TIGERS,0.031,0.186,0.389,33.771
18,SEATTLE_MARINERS,0.031,0.176,0.364,31.747
19,MINNESOTA_TWINS,0.03,0.202,0.382,33.245
20,MILWAUKEE_BREWERS,0.03,0.222,0.42,36.614
21,NEW_YORK_METS,0.029,0.217,0.437,38.089
22,WASHINGTON_NATIONALS,0.028,0.171,0.4,34.592
23,SAN_DIEGO_PADRES,0.028,0.184,0.362,31.556
24,KANSAS_CITY_ROYALS,0.027,0.203,0.396,34.44
25,HOUSTON_ASTROS,0.027,0.198,0.361,31.512
26,PHILADELPHIA_PHILLIES,0.027,0.184,0.383,33.26
27,TEXAS_RANGERS,0.026,0.186,0.38,33.182
28,CLEVELAND_GUARDIANS,0.025,0.179,0.391,33.769
29,LOS_ANGELES_DODGERS,0.024,0.221,0.401,34.912
