year,team_abbr,league,city,name
2001,ANA,A,Anaheim,Angels
2001,BAL,A,Baltimore,Orioles
2001,BOS,A,Boston,Red Sox
2001,CHA,A,Chicago,White Sox
2001,CLE,A,Cleveland,Indians
2001,DET,A,Detroit,Tigers
2001,KCA,A,Kansas City,Royals
2001,MIN,A,Minnesota,Twins
2001,NYA,A,New York,Yankees
2001,OAK,A,Oakland,Athletics
2001,SEA,A,Seattle,Mariners
2001,TBA,A,Tampa Bay,Devil Rays
2001,TEX,A,Texas,Rangers
2001,TOR,A,Toronto,Blue Jays
2001,ARI,N,Arizona,Diamondbacks
2001,ATL,N,Atlanta,Braves
2001,CHN,N,Chicago,Cubs
2001,CIN,N,Cincinnati,Reds
2001,COL,N,Colorado,Rockies
2001,FLO,N,Florida,Marlins
2001,HOU,N,Houston,Astros
2001,LAN,N,Los Angeles,Dodgers
2001,MIL,N,Milwaukee,Brewers
2001,MON,N,Montreal,Expos
2001,NYN,N,New York,Mets
2001,PHI,N,Philadelphia,Phillies
2001,PIT,N,Pittsburgh,Pirates
2001,SDN,N,San Diego,Padres
2001,SFN,N,San Francisco,Giants
2001,SLN,N,St. Louis,Cardinals
2002,ANA,A,Anaheim,Angels
2002,BAL,A,Baltimore,Orioles
2002,BOS,A,Boston,Red Sox
2002,CHA,A,Chicago,White Sox
2002,CLE,A,Cleveland,Indians
2002,DET,A,Detroit,Tigers
2002,KCA,A,Kansas City,Royals
2002,MIN,A,Minnesota,Twins
2002,NYA,A,New York,Yankees
2002,OAK,A,Oakland,Athletics
2002,SEA,A,Seattle,Mariners
2002,TBA,A,Tampa Bay,Devil Rays
2002,TEX,A,Texas,Rangers
2002,TOR,A,Toronto,Blue Jays
2002,ARI,N,Arizona,Diamondbacks
2002,ATL,N,Atlanta,Braves
2002,CHN,N,Chicago,Cubs
2002,CIN,N,Cincinnati,Reds
2002,COL,N,Colorado,Rockies
2002,FLO,N,Florida,Marlins
2002,HOU,N,Houston,Astros
2002,LAN,N,Los Angeles,Dodgers
2002,MIL,N,Milwaukee,Brewers
2002,MON,N,Montreal,Expos
2002,NYN,N,New York,Mets
2002,PHI,N,Philadelphia,Phillies
2002,PIT,N,Pittsburgh,Pirates
2002,SDN,N,San Diego,Padres
2002,SFN,N,San Francisco,Giants
2002,SLN,N,St. Louis,Cardinals
